site_id,elevation_m_asl,aspect,transect,position_m,sample_no,sample_depth_cm,soil_depth_cm,dry_root_mass_g,stone_mass_g,dry_soil_mass_g
1,2000,west,1,2.24,1,5.5,15,3.86,47.65,63.02
1,2000,west,1,4.68,2,8.5,9,3.14,229.84,147.95
1,2000,west,1,6.75,3,7.5,60,2.55,185.09,133.18
1,2000,west,1,7.61,4,7.5,13,5.16,144.09,95.99
1,2000,west,1,9.11,5,7,17,3.72,152.86,125.01
1,2000,west,1,10.01,6,4,7,5.54,26.51,44.85
1,2000,west,1,10.7,7,7,20,7.37,83.64,93.8
1,2000,west,1,14.48,8,5.5,14,5.29,48.56,74.71
1,2000,west,1,17.2,9,9,14,2.35,243.68,123.38
1,2000,west,1,18.08,10,7,26,0.55,247.01,110.86
1,2000,west,2,1.06,1,10,30,4.85,128.53,122.72
1,2000,west,2,3.33,2,9,18,5.3,146.04,136.31
1,2000,west,2,4.21,3,5,7,3.16,82.14,81.19
1,2000,west,2,6.46,4,12,47,4.82,303.02,87.53
1,2000,west,2,7.04,5,8,12,7.73,71.56,69.58
1,2000,west,2,10.99,6,10,15,8.01,182.19,147.39
1,2000,west,2,12.22,7,12,45,0.52,301.23,117.17
1,2000,west,2,13.83,8,9,34,5.38,125.69,90.79
1,2000,west,2,14.62,9,10,17,2.74,333.91,128.28
1,2000,west,2,17.2,10,10,13,5.65,55.21,66.63
2,2200,west,1,2.53,1,9.5,9.5,1.08,202.96,97.04
2,2200,west,1,3.29,2,10,10,0.92,116.54,73.53
2,2200,west,1,4,3,8,10,1.46,155.36,108.61
2,2200,west,1,7.71,4,10,13,0.86,130.95,78.78
2,2200,west,1,8.23,5,6,7,1.13,10.97,7.57
2,2200,west,1,9.02,6,9,9.2,3,111.62,59.64
2,2200,west,1,9.77,7,7,9,7.6,67,54.1
2,2200,west,1,11.51,8,7,8,1.48,80.89,67.85
2,2200,west,1,12.97,9,8.5,11,1.89,160.91,120.77
2,2200,west,1,14.73,10,10,17,3.27,146.45,85.71
2,2200,west,2,0.06,1,10.5,27.5,3.97,269.37,113.08
2,2200,west,2,1.93,2,8.5,17,0.95,307.21,181.04
2,2200,west,2,5.26,3,10,23,6.86,221.15,53.81
2,2200,west,2,5.96,4,10,12,0.75,177.17,77.26
2,2200,west,2,8.83,5,9.5,60,1.69,298.38,127.22
2,2200,west,2,10.88,6,11,22,1.01,400.8,176.41
2,2200,west,2,13.8,7,12,22,3.29,413.05,178.72
2,2200,west,2,17.13,8,10,28,3.47,264.28,122.87
2,2200,west,2,18.2,9,10,45,5.3,268.5,135.84
2,2200,west,2,19.48,10,10,14,2.5,208.93,150.56
3,2400,west,1,1.47,1,10,24,13.91,31.36,48.8
3,2400,west,1,3.86,2,13,37.5,7.91,46.4,56.49
3,2400,west,1,5.02,3,11.5,38,19.62,75.28,102.72
3,2400,west,1,11.08,4,16,39,9.26,107.38,84.69
3,2400,west,1,13.16,5,13.8,25,5.69,133.77,116.65
3,2400,west,1,14.09,6,10.5,14,2.57,51.06,37.2
3,2400,west,1,15.08,7,10,35,3.23,38.63,44.56
3,2400,west,1,17.87,8,10,29,2.69,63.23,52.14
3,2400,west,1,18.57,9,9,12.5,1.36,53.77,46.05
3,2400,west,1,19.9,10,12,17.5,3.22,32.64,35.17
3,2400,west,2,2.79,1,11,21,13.8,42.09,47.71
3,2400,west,2,4.2,2,17.5,42,2.63,87.51,72.23
3,2400,west,2,5.35,3,10,37,4.38,41.31,45.02
3,2400,west,2,5.89,4,11,45,2.1,58.54,48.49
3,2400,west,2,8.69,5,10.5,35,8.47,76.78,78.39
3,2400,west,2,9.73,6,11,31,14.33,47.94,96.25
3,2400,west,2,11.38,7,10,35,7.99,42.42,36.65
3,2400,west,2,12.72,8,11,27,4.75,57.92,72.56
3,2400,west,2,16.13,9,16,26,3.53,115.92,66.53
3,2400,west,2,19.68,10,12,37,8.42,41.5,69.16
4,2600,west,1,2.28,1,13,15,4.31,100.97,87.33
4,2600,west,1,6.61,2,7,9.5,3.42,75.55,59.01
4,2600,west,1,8.53,3,9,10.5,3.92,87.88,92.44
4,2600,west,1,10.61,4,10,17,8.69,91.66,79.38
4,2600,west,1,11.46,5,6.5,6.5,2.49,75.09,51.73
4,2600,west,1,12.14,6,9.5,9.8,6.06,129.41,96.71
4,2600,west,1,14.32,7,5,9,1.51,64.59,56.51
4,2600,west,1,15.29,8,8,13,9.82,139.28,91.52
4,2600,west,1,17.42,9,10,11,3.15,100.45,71.2
4,2600,west,1,18.24,10,9,9,1.93,142.31,96.17
4,2600,west,2,0.75,1,10,35,8.58,55.1,46.99
4,2600,west,2,1.55,2,13,47,7.71,62.61,68.49
4,2600,west,2,2.34,3,10,40,3.86,69.09,62.69
4,2600,west,2,3.37,4,11,40,4.48,78,62.77
4,2600,west,2,4.52,5,11.5,43,3.56,79.26,70.32
4,2600,west,2,8.37,6,11,55,8.14,141.35,68.49
4,2600,west,2,10.84,7,11,60,5.38,81.13,72.8
4,2600,west,2,12.57,8,12,42,11.11,97.91,110.19
4,2600,west,2,14.85,9,13,36,2.32,160.86,103.87
4,2600,west,2,18.15,10,15,34,3.68,151.89,75.73
